"filename", "language", "JavaScript", "Markdown", "HTML", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\pages\Cars.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 2, 10, 61
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 132, 0, 0, 0, 2, 13, 147
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\pages\Signup.tsx", "TypeScript JSX", 0, 0, 0, 0, 144, 0, 0, 0, 2, 14, 160
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\services\api.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 6, 9, 49
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\services\auth.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 3, 4, 25
"c:\Users\Abdessamed\Desktop\lokar\frontend\src\types\auth.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Abdessamed\Desktop\lokar\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 60436, 121, 13, 1208, 973, 24, 51, 2, 13681, 2079, 78588
